python;Python;python.png;4;Langage de programmation Python;Syntaxe et concepts de base, <abbr title="Programmation Orientée Objet">POO</abbr>;J'ai commencé à apprendre ce langage au lycée en spécialité <abbr title="Numérique et Sciences de l'Informatique">NSI</abbr>. J'ai fait du Python pendant quelques années pour un de mes projets (voir <a href="succes/#sloubi">Succès</a>) si bien que mon expérience pour ce langage de programmation est considérable. C'est ainsi le langage que je maîtrise le plus en terme général.
linux;Linux;linux.svg;4;Système d'exploitation GNU/Linux;Commandes de base, administration et commandes avancées, déploiement de services tels que des serveurs HTTP, PostgreSQL, Minecraft..., installation à partir d'une clé USB bootable, utilisation de gestionnaire de paquets;J'ai commencé à prendre en main Linux en apprenant les commandes de base en spécialité <abbr title="Numérique et Sciences de l'Informatique">NSI</abbr>, au lycée. J'en ai appris plus sur le système de fichiers et son fonctionnement au travers du jeu pédagogique GameShell. Depuis que j'ai pris en main les environnements graphiques tels que KDE Plasma en première année de première année de <abbr title="Bachelor Universitaire de Technologie">BUT</abbr> informatique, j'ai énormément apprécié la grande liberté offerte et les fonctionnalités supplémentaires. J'ai ainsi décidé d'installer la distribution Debian sur mon ordinateur d'études pour en profiter, ce qui m'a appris à installer un système à partir d'une clé USB bootable.
java;Java;java.png;3;Langage de programmation Java;Syntaxe et concepts de base, <abbr title="Programmation Orientée Objet">POO</abbr>, interfaces JavaFX et SceneBuilder;J'ai commencé à apprendre ce langage au première année de <abbr title="Bachelor Universitaire de Technologie">BUT</abbr> informatique. Ce langage a été utilisé pour quelques projets pédagogiques faisant partie du cadre de mes études (voir <a href="succes/">Succès</a>)
html;HTML;html.svg;3;Langage de description HTML;Syntaxe et concepts de base;J'ai appris ce langage au lycée en spécialité <abbr title="Numérique et Sciences de l'Informatique">NSI</abbr>. Cela a été complété par ma formation de <abbr title="Bachelor Universitaire de Technologie">BUT</abbr> informatique. De ce fait, j'en possède une compréhension accrue.
css;CSS;css.svg;3;Langage de style CSS;Syntaxe et concepts de base, positionnement flex, notions de responsive;Tout comme l'HTML, j'ai commencé à apprendre ce langage au lycée en spécialité <abbr title="Numérique et Sciences de l'Informatique">NSI</abbr>, complété par ma formation de <abbr title="Bachelor Universitaire de Technologie">BUT</abbr> informatique. Le CSS étant rattaché au HTML, mes compétences sont aussi similaires.
git;Git;git.svg;3;Outil de versioning Git;Syntaxe et concepts de base, utilisation de clés SSH, fusion de branches, fusion de fichiers;J'ai commencé à apprendre l'utilisation de Git seul en lisant la <a href="https://git-scm.com/book/en/v2/Getting-Started-About-Version-Control">documentation</a> sous forme de "livre". Cela a été complété par ma formation de <abbr title="Bachelor Universitaire de Technologie">BUT</abbr> informatique. Ainsi, j'ai une bonne compréhension générale de cet outil.
psql;PostgreSQL;psql.png;2;Langage de programmation PostgreSQL;Syntaxe et concepts de base, administration de base de données distante, gestion des transactions & optimisations;J'ai commencé à apprendre la syntaxe générale du langage SQL en spécialité <abbr title="Numérique et Sciences de l'Informatique">NSI</abbr>, au lycée. J'ai appris l'utilisation du SGBD PostgreSQL en 1ère année de <abbr title="Bachelor Universitaire de Technologie">BUT</abbr> informatique.
68k;Assembleur 68k;68k.png;1;Langage Assembleur Motorola 68000;Syntaxe et concepts de base, spécificités du processeur, notion de pile et de sous-programmes;J'ai commencé à apprendre le langage assembleur Motorola 68000 en première année de <abbr title="Bachelor Universitaire de Technologie">BUT</abbr> informatique.
cpp;C++;68k.png;2;Langage de programmation C++;Syntaxe et concepts de base, Syntaxe orientée objet;J'ai commencé à apprendre ce langage dès la deuxième année de BUT.
php;PHP;68k.png;1;Langage de programmation PHP;Syntaxe et concepts de base, Syntaxe orientée objet;J'ai commencé à apprendre ce langage dès la deuxième année de BUT.
javascript;Javascript;68k.png;1;Langage de programmation Javascript;Syntaxe et concepts de base;J'ai commencé à apprendre ce langage dès la deuxième année de BUT.
